Sale Date,ISBN,Discount,ItemID,OrderID,Quantity
1/3/2193,989-28-79-13801-1,,107021-85-5147,107021-86,72
1/3/2193,989-28-79-74374-1,,107021-67-8660,107021-87,40
1/3/2193,989-28-79-40897-8,,107021-89-4668,107021-88,21
1/3/2193,989-28-79-74374-1,,107021-89-7469,107021-89,11
1/3/2193,989-28-79-74374-1,,107021-26-276,107021-90,26
1/3/2193,989-28-79-13801-1,,107021-54-291,107021-91,66
1/3/2193,989-28-79-40897-8,,107021-13-2005,107021-92,89
1/3/2193,989-28-79-23023-4,,107021-72-6141,107021-93,70
1/3/2193,989-28-3705-492-6,,107021-82-5599,107021-94,39
1/3/2193,989-28-3705-492-6,,107021-8-4515,107021-95,42
1/3/2193,989-28-3705-222-9,,107021-35-6264,107021-96,41
1/3/2193,989-28-3705-222-9,,107021-5-5556,107021-97,61
1/3/2193,989-28-3705-222-9,,107021-56-279,107021-98,18
1/3/2193,989-28-79-68089-3,0.05,107021-6-4936,107021-99,21
1/3/2193,989-28-79-82197-5,0.15,107021-1-3237,107021-99,48
1/3/2193,989-28-79-82197-5,0.15,107021-1-6710,107021-99,94
1/3/2193,989-28-79-82197-5,0.15,107021-1-6696,107047-55,58
1/4/2193,989-28-79-21991-8,,107022-99-8504,107022-102,23
1/4/2193,989-28-79-82197-5,,107022-17-9117,107022-103,76
1/4/2193,989-28-79-86624-2,,107022-4-5193,107022-104,11
1/4/2193,989-28-79-45675-7,,107022-11-3193,107022-105,32
1/4/2193,989-28-79-22871-2,,107022-88-4640,107022-106,54
1/4/2193,989-28-79-01991-4,,107022-3-9449,107022-107,69
1/4/2193,989-28-79-45675-7,,107022-18-9361,107022-108,49
1/4/2193,989-28-79-82749-6,,107022-80-9633,107022-109,14
1/4/2193,989-28-79-82749-6,,107022-80-9632,107022-110,10
1/4/2193,989-28-79-69807-2,,107022-62-988,107022-111,97
1/4/2193,989-28-79-13871-4,,107022-83-8097,107022-112,62
1/4/2193,989-28-79-05670-4,,107022-79-9700,107022-113,37
1/4/2193,989-28-79-05670-4,,107022-8-2279,107022-114,26
1/4/2193,989-28-79-82749-6,,107022-8-5877,107022-115,57
1/4/2193,989-28-79-13871-4,,107022-83-8096,107022-116,86
1/4/2193,989-28-79-13871-4,,107022-6-5115,107022-117,91
1/4/2193,989-28-79-13871-4,,107022-6-5114,107022-118,99
1/4/2193,989-28-79-22562-9,,107022-48-910,107022-119,74
1/4/2193,989-28-79-22562-9,,107022-10-2013,107022-120,40
1/4/2193,989-28-79-82749-6,,107022-8-5876,107022-121,93
1/4/2193,989-28-79-69807-2,,107022-97-5209,107022-122,41
1/4/2193,989-28-79-69807-2,,107022-97-5208,107022-123,83
1/4/2193,989-28-79-69807-2,,107022-62-987,107022-124,23
1/4/2193,989-28-229-5891-8,,107022-73-5512,107022-125,86
1/4/2193,989-28-229-7592-2,,107022-65-4088,107022-126,48
1/4/2193,989-28-229-6632-6,0.1,107022-8-1340,107022-127,37
1/4/2193,989-28-229-0197-6,,107022-65-3611,107022-128,73
1/4/2193,989-28-229-9769-6,,107022-58-7168,107022-129,12
1/4/2193,989-28-229-3157-7,,107022-46-382,107022-130,100
1/4/2193,989-28-229-9769-6,,107022-52-6466,107022-131,50
1/4/2193,989-28-79-26824-4,,107022-40-6414,107022-132,40
1/4/2193,989-28-79-91028-0,,107022-36-6352,107022-133,23
1/4/2193,989-28-79-13801-1,,107022-56-3405,107022-134,29
1/4/2193,989-28-79-13801-1,,107022-35-7,107022-135,63
1/4/2193,989-28-79-23023-4,,107022-58-8003,107022-136,20
1/4/2193,989-28-79-23023-4,,107022-6-471,107022-137,63
1/4/2193,989-28-79-74374-1,,107022-97-9565,107022-138,22
1/4/2193,989-28-79-13801-1,,107022-89-3684,107022-139,13
1/4/2193,989-28-79-55824-6,,107022-8-4653,107022-140,23
1/4/2193,989-28-79-13801-1,,107022-63-5234,107022-141,17
1/4/2193,989-28-79-26824-4,,107022-81-5752,107022-142,48
1/4/2193,989-28-79-71565-6,,107022-63-7537,107022-143,68
1/4/2193,989-28-79-13801-1,,107022-62-7641,107022-144,60
1/4/2193,989-28-79-13801-1,,107022-61-6700,107022-145,67
1/4/2193,989-28-79-74374-1,,107022-55-6014,107022-146,84
1/4/2193,989-28-79-91028-0,,107022-33-1454,107022-147,75
1/4/2193,989-28-79-13801-1,,107022-34-7661,107022-148,15
1/4/2193,989-28-79-26824-4,,107022-58-2062,107022-149,74
1/4/2193,989-28-79-26824-4,,107022-1-1997,107022-150,93
1/4/2193,989-28-79-23023-4,,107022-25-2786,107022-151,56
1/4/2193,989-28-3705-763-7,,107022-28-3849,107022-152,92
1/4/2193,989-28-3705-222-9,,107022-76-5228,107022-153,60
1/4/2193,989-28-79-23015-9,,107022-82-5746,107022-154,74
1/4/2193,989-28-3705-222-9,,107022-48-8148,107022-155,85
1/4/2193,989-28-3705-222-9,,107022-90-3375,107022-156,90
1/4/2193,989-28-79-42728-3,,107022-56-6394,107022-157,83
1/4/2193,989-28-229-7592-2,,107022-54-9779,107022-158,80
1/4/2193,989-28-229-1404-4,,107022-72-1250,107022-159,42
1/4/2193,989-28-229-7592-2,,107022-80-1229,107022-159,50
1/4/2193,989-28-79-55752-2,,107022-89-4448,107022-160,66
1/4/2193,989-28-229-9769-6,,107022-96-6153,107022-160,98
1/4/2193,989-28-79-82197-5,0.15,107022-1-7074,107022-161,18
1/4/2193,989-28-79-26824-4,,107022-49-6356,107022-161,44
1/4/2193,989-28-79-23023-4,,107022-91-5322,107022-161,75
1/4/2193,989-28-3705-007-2,,107022-11-6557,107022-162,68
1/4/2193,989-28-3705-007-2,,107022-19-3799,107022-162,20
1/4/2193,989-28-3705-592-3,,107022-6-4493,107022-162,34
1/4/2193,989-28-3705-007-2,,107022-64-6162,107022-162,52
1/4/2193,989-28-79-82197-5,0.15,107022-1-9052,107049-158,72
1/5/2193,989-28-79-82197-5,0.15,107023-1-2504,107022-177,41
1/5/2193,989-28-3705-007-2,,107023-90-7590,107023-163,12
1/5/2193,989-28-3705-054-6,,107023-97-1027,107023-164,19
1/5/2193,989-28-3705-987-7,,107023-16-6541,107023-165,84
1/5/2193,989-28-3705-966-2,,107023-20-3773,107023-166,49
1/5/2193,989-28-3705-007-2,,107023-74-3440,107023-167,71
1/5/2193,989-28-3705-007-2,,107023-68-16,107023-168,84
1/5/2193,989-28-3705-987-7,,107023-1-832,107023-169,79
1/5/2193,989-28-3705-007-2,,107023-99-2664,107023-170,56
1/5/2193,989-28-3705-007-2,,107023-58-7265,107023-171,43
1/5/2193,989-28-3705-987-7,,107023-90-1561,107023-172,23
1/5/2193,989-28-79-45675-7,,107023-47-5310,107023-173,10
1/5/2193,989-28-79-04510-4,,107023-86-733,107023-174,77
1/5/2193,989-28-79-04510-4,,107023-71-4721,107023-175,45
1/5/2193,989-28-79-82197-5,,107023-99-9805,107023-176,16
1/5/2193,989-28-79-45675-7,,107023-98-6636,107023-178,55
1/5/2193,989-28-79-30536-9,,107023-13-1498,107023-179,38
1/5/2193,989-28-79-45675-7,,107023-13-539,107023-180,12
1/5/2193,989-28-79-45675-7,,107023-7-9575,107023-181,44
1/5/2193,989-28-79-45675-7,,107023-30-6246,107023-182,39
1/5/2193,989-28-79-27078-0,,107023-85-4668,107023-183,82
1/5/2193,989-28-79-82197-5,0.15,107023-1-3271,107023-184,83
1/5/2193,989-28-79-11297-4,,107023-61-9313,107023-185,48
1/5/2193,989-28-79-45675-7,0.13,107023-42-9976,107023-186,94
1/5/2193,989-28-654-2017-5,,107023-89-952,107023-187,23
1/5/2193,989-28-79-69807-2,,107023-90-2631,107023-188,17
1/5/2193,989-28-79-82749-6,,107023-94-209,107023-189,92
1/5/2193,989-28-79-13871-4,,107023-81-6977,107023-190,59
1/5/2193,989-28-79-13871-4,,107023-90-6632,107023-191,74
1/5/2193,989-28-79-69807-2,,107023-90-2630,107023-192,78
1/5/2193,989-28-79-82125-8,,107023-7-8582,107023-193,79
1/5/2193,989-28-79-69807-2,,107023-10-9171,107023-194,16
1/5/2193,989-28-79-69807-2,,107023-29-2505,107023-195,97
1/5/2193,989-28-79-82125-8,,107023-7-8581,107023-196,14
1/5/2193,989-28-79-69807-2,,107023-50-4648,107023-197,69
1/5/2193,989-28-79-69807-2,,107023-10-9170,107023-198,31
1/5/2193,989-28-79-13871-4,,107023-95-8559,107023-199,80
1/5/2193,989-28-79-13871-4,,107023-81-6976,107023-200,84
1/5/2193,989-28-79-13871-4,0.13,107023-42-9555,107023-201,28
1/5/2193,989-28-79-69807-2,,107023-40-2526,107023-202,37
1/5/2193,989-28-79-13871-4,,107023-61-7665,107023-203,22
1/5/2193,989-28-79-69807-2,,107023-50-4647,107023-204,23
1/5/2193,989-28-79-82125-8,,107023-99-9707,107023-205,29
1/5/2193,989-28-79-69807-2,,107023-29-2504,107023-206,83
1/5/2193,989-28-79-69807-2,,107023-7-34,107023-207,89
1/5/2193,989-28-79-69807-2,,107023-40-2525,107023-208,85
1/5/2193,989-28-79-13871-4,,107023-90-6631,107023-209,94
1/5/2193,989-28-654-2620-7,,107023-28-781,107023-210,16
1/5/2193,989-28-229-6632-6,0.1,107023-32-3858,107023-211,93
1/5/2193,989-28-229-6632-6,0.1,107023-5-3025,107023-212,48
1/5/2193,989-28-229-5891-8,,107023-65-7982,107023-213,32
1/5/2193,989-28-229-7592-2,,107023-23-6309,107023-214,96
1/5/2193,989-28-229-7592-2,,107023-88-4941,107023-215,95
1/5/2193,989-28-229-0197-6,,107023-41-8581,107023-216,31
1/5/2193,989-28-229-6632-6,0.1,107023-85-7639,107023-217,33
1/5/2193,989-28-229-6632-6,0.1,107023-12-8582,107023-218,71
1/5/2193,989-28-79-68089-3,0.05,107023-68-5233,107023-219,27
1/5/2193,989-28-79-74374-1,,107023-71-1873,107023-220,79
1/5/2193,989-28-79-13801-1,,107023-1-5783,107023-221,71
1/5/2193,989-28-79-23023-4,0.13,107023-42-523,107023-222,79
1/5/2193,989-28-79-13801-1,,107023-57-2277,107023-223,62
1/5/2193,989-28-79-71565-6,,107023-48-9744,107023-225,53
1/5/2193,989-28-79-26824-4,,107023-60-734,107023-226,76
1/5/2193,989-28-79-74374-1,,107023-26-231,107023-227,23
1/5/2193,989-28-79-26824-4,,107023-55-5436,107023-228,16
1/5/2193,989-28-79-23023-4,,107023-77-178,107023-229,80
1/5/2193,989-28-79-55752-2,,107023-28-8847,107023-230,41
1/5/2193,989-28-79-16533-8,,107023-67-3798,107023-231,67
1/5/2193,989-28-79-23023-4,,107023-92-5780,107023-232,16
1/5/2193,989-28-79-74374-1,,107023-16-3254,107023-233,22
1/5/2193,989-28-79-91028-0,,107023-30-2520,107023-234,18
1/5/2193,989-28-79-26824-4,,107023-62-2181,107023-235,83
1/5/2193,989-28-79-74374-1,,107023-28-5260,107023-236,41
1/5/2193,989-28-79-13801-1,,107023-20-7796,107023-237,72
1/5/2193,989-28-79-26824-4,,107023-88-283,107023-238,30
1/5/2193,989-28-79-74374-1,,107023-82-5371,107023-239,50
1/5/2193,989-28-79-74374-1,,107023-35-8302,107023-241,48
1/5/2193,989-28-79-40897-8,,107023-2-3675,107023-242,100
1/5/2193,989-28-79-23023-4,,107023-29-1406,107023-243,57
1/5/2193,989-28-79-13801-1,,107023-73-5541,107023-244,29
1/5/2193,989-28-79-23023-4,,107023-2-9301,107023-245,98
1/5/2193,989-28-79-23023-4,,107023-47-14,107023-246,81
1/5/2193,989-28-79-23023-4,,107023-73-7063,107023-247,85
1/5/2193,989-28-79-74374-1,,107023-99-8009,107023-248,47
1/5/2193,989-28-79-13801-1,,107023-95-6779,107023-249,11
1/5/2193,989-28-79-55824-6,,107023-18-6485,107023-250,99
1/5/2193,989-28-79-51397-9,,107023-7-6326,107023-251,93
1/5/2193,989-28-79-74374-1,,107023-7-2076,107023-252,83
1/5/2193,989-28-79-23023-4,,107023-58-9142,107023-253,51
1/5/2193,989-28-79-40897-8,,107023-98-9062,107023-254,90
1/5/2193,989-28-79-23023-4,,107023-35-8883,107023-255,21
1/5/2193,989-28-79-74374-1,,107023-27-4529,107023-256,64
1/5/2193,989-28-79-44730-4,,107023-27-9960,107023-257,61
1/5/2193,989-28-3705-492-6,,107023-94-6678,107023-258,64
1/5/2193,989-28-3705-222-9,,107023-59-7446,107023-259,70
1/5/2193,989-28-3705-222-9,,107023-79-2356,107023-260,97
1/5/2193,989-28-3705-222-9,,107023-67-7192,107023-261,63
1/5/2193,989-28-3705-222-9,,107023-50-7418,107023-262,87
1/5/2193,989-28-3705-222-9,,107023-87-8277,107023-263,11
1/5/2193,989-28-79-14379-4,,107023-44-319,107023-264,63
1/5/2193,989-28-3705-222-9,,107023-50-1732,107023-265,34
1/5/2193,989-28-79-03683-6,,107023-12-3597,107023-266,80
1/5/2193,989-28-3705-222-9,,107023-35-4377,107023-267,93
1/5/2193,989-28-3705-222-9,,107023-38-8140,107023-268,46
1/5/2193,989-28-3705-492-6,,107023-61-160,107023-269,17
1/5/2193,989-28-3705-583-1,,107023-15-425,107023-270,95
1/5/2193,989-28-3705-152-9,,107023-28-2142,107023-270,21
1/5/2193,989-28-3705-987-7,,107023-73-3333,107023-270,80
1/5/2193,989-28-79-82197-5,0.15,107023-1-5390,107023-271,58
1/5/2193,989-28-79-11297-4,,107023-76-4145,107023-271,50
1/5/2193,989-28-79-91028-0,,107023-76-8401,107023-271,30
1/5/2193,989-28-79-13871-4,,107023-61-7664,107023-272,50
1/5/2193,989-28-79-69807-2,,107023-7-33,107023-272,30
1/5/2193,989-28-229-5891-8,,107023-3-3880,107023-273,34
1/5/2193,989-28-79-21991-8,,107023-45-5640,107023-273,21
1/5/2193,989-28-79-45675-7,,107023-66-2903,107023-273,72
1/5/2193,989-28-3705-222-9,,107023-75-6141,107023-273,73
1/5/2193,989-28-3705-222-9,,107023-43-5050,107023-274,21
1/5/2193,989-28-79-82749-6,,107023-94-208,107023-274,68
1/5/2193,989-28-79-82125-8,,107023-99-9706,107023-274,65
1/5/2193,989-28-79-71565-6,,107023-88-3261,107023-275,97
1/5/2193,989-28-79-13871-4,,107023-95-8558,107023-275,45
1/5/2193,989-28-79-13801-1,,107023-13-6160,107023-276,51
1/5/2193,989-28-79-40897-8,,107023-28-5589,107023-276,60
1/5/2193,989-28-79-23023-4,,107023-33-5996,107023-277,15
1/5/2193,989-28-79-13801-1,,107023-36-7543,107023-277,65
1/5/2193,989-28-79-74374-1,,107023-53-6567,107023-278,27
1/5/2193,989-28-229-1404-4,,107023-85-8448,107023-278,47
1/5/2193,989-28-229-7592-2,0.13,107023-42-4094,107023-279,11
1/5/2193,989-28-79-74374-1,0.13,107023-54-5342,107023-279,41
1/5/2193,989-28-79-13871-4,0.13,107023-42-9554,107023-280,62
1/5/2193,989-28-3705-987-7,,107023-97-305,107023-280,19
1/5/2193,989-28-3705-492-6,,107023-68-3375,107023-281,78
1/5/2193,989-28-79-16826-1,,107023-79-6274,107023-281,49
1/6/2193,989-28-79-82197-5,0.15,107024-1-1659,107023-296,13
1/6/2193,989-28-3705-583-1,,107024-65-5003,107024-282,84
1/6/2193,989-28-3705-007-2,,107024-56-7924,107024-283,13
1/6/2193,989-28-3705-007-2,,107024-69-6939,107024-284,53
1/6/2193,989-28-3705-007-2,,107024-31-2163,107024-285,46
1/6/2193,989-28-3705-583-1,,107024-48-5034,107024-286,75
1/6/2193,989-28-3705-583-1,,107024-67-6372,107024-287,43
1/6/2193,989-28-3705-987-7,,107024-19-8248,107024-288,12
1/6/2193,989-28-3705-987-7,,107024-74-9081,107024-289,22
1/6/2193,989-28-3705-966-2,,107024-88-6145,107024-290,55
1/6/2193,989-28-3705-007-2,,107024-65-2783,107024-291,24
1/6/2193,989-28-3705-007-2,,107024-60-2388,107024-292,19
1/6/2193,989-28-79-45675-7,,107024-48-6813,107024-293,56
1/6/2193,989-28-79-86624-2,,107024-14-4983,107024-294,75
1/6/2193,989-28-79-70597-8,,107024-66-2873,107024-295,14
1/6/2193,989-28-79-45675-7,,107024-62-6122,107024-297,42
1/6/2193,989-28-79-13871-4,,107024-33-7374,107024-298,74
1/6/2193,989-28-79-05670-4,,107024-78-171,107024-299,65
1/6/2193,989-28-79-69807-2,,107024-93-2571,107024-300,45
1/6/2193,989-28-79-82749-6,,107024-25-2676,107024-301,61
1/6/2193,989-28-79-13871-4,,107024-66-2184,107024-302,49
1/6/2193,989-28-79-69807-2,,107024-93-2570,107024-303,85
1/6/2193,989-28-79-13871-4,,107024-33-7373,107024-304,45
1/6/2193,989-28-79-13871-4,,107024-66-2183,107024-305,76
1/6/2193,989-28-79-82749-6,,107024-25-2675,107024-306,100
1/6/2193,989-28-229-3157-7,,107024-83-2325,107024-307,87
1/6/2193,989-28-229-1404-4,,107024-1-4283,107024-308,28
1/6/2193,989-28-229-9769-6,,107024-17-1957,107024-309,16
1/6/2193,989-28-229-1404-4,,107024-80-389,107024-310,14
1/6/2193,989-28-229-7592-2,,107024-88-5951,107024-311,87
1/6/2193,989-28-229-1404-4,,107024-11-2113,107024-312,46
1/6/2193,989-28-229-6632-6,0.1,107024-81-7740,107024-313,81
1/6/2193,989-28-229-6632-6,0.1,107024-66-5855,107024-314,39
1/6/2193,989-28-229-9769-6,,107024-87-8563,107024-315,74
1/6/2193,989-28-229-9769-6,,107024-8-726,107024-316,28
1/6/2193,989-28-229-7592-2,,107024-25-3301,107024-317,80
1/6/2193,989-28-229-7592-2,,107024-95-9050,107024-318,14
1/6/2193,989-28-229-6632-6,0.1,107024-95-9743,107024-319,78
1/6/2193,989-28-229-7592-2,,107024-7-2086,107024-320,44
1/6/2193,989-28-79-40897-8,,107024-37-2869,107024-321,38
1/6/2193,989-28-79-13801-1,,107024-71-4686,107024-322,72
1/6/2193,989-28-79-23023-4,,107024-8-5278,107024-323,84
1/6/2193,989-28-79-40897-8,,107024-23-751,107024-324,44
1/6/2193,989-28-79-23023-4,,107024-52-8676,107024-325,60
1/6/2193,989-28-79-23023-4,,107024-19-4026,107024-326,37
1/6/2193,989-28-79-40897-8,,107024-75-2260,107024-327,38
1/6/2193,989-28-79-13801-1,,107024-64-7469,107024-328,92
1/6/2193,989-28-79-74374-1,,107024-90-9121,107024-329,49
1/6/2193,989-28-79-26824-4,,107024-50-2130,107024-330,80
1/6/2193,989-28-79-23023-4,,107024-85-4591,107024-331,12
1/6/2193,989-28-79-74374-1,,107024-85-7037,107024-332,94
1/6/2193,989-28-79-55752-2,,107024-35-1159,107024-333,36
1/6/2193,989-28-79-23023-4,,107024-98-8690,107024-334,35
1/6/2193,989-28-79-13801-1,,107024-54-2662,107024-335,35
1/6/2193,989-28-79-13801-1,,107024-91-7062,107024-336,66
1/6/2193,989-28-79-23023-4,,107024-60-9006,107024-337,17
1/6/2193,989-28-79-23023-4,,107024-32-5341,107024-338,88
1/6/2193,989-28-79-40897-8,,107024-51-277,107024-339,96
1/6/2193,989-28-79-13801-1,,107024-71-1920,107024-340,44
1/6/2193,989-28-79-74374-1,,107024-66-3961,107024-341,32
1/6/2193,989-28-79-74374-1,,107024-95-8806,107024-342,55
1/6/2193,989-28-79-68089-3,0.05,107024-30-101,107024-343,68
1/6/2193,989-28-79-71565-6,,107024-81-1125,107024-344,99
1/6/2193,989-28-79-13801-1,,107024-89-8977,107024-345,49
1/6/2193,989-28-79-23023-4,,107024-56-3657,107024-346,52
1/6/2193,989-28-79-74374-1,,107024-7-1233,107024-347,74
1/6/2193,989-28-79-91028-0,,107024-60-3520,107024-348,65
1/6/2193,989-28-79-23023-4,,107024-10-6443,107024-349,59
1/6/2193,989-28-79-23023-4,,107024-98-2999,107024-350,18
1/6/2193,989-28-79-68089-3,0.05,107024-73-1768,107024-351,72
1/6/2193,989-28-79-23023-4,,107024-1-5458,107024-352,12
1/6/2193,989-28-79-26824-4,,107024-87-7978,107024-353,92
1/6/2193,989-28-79-26824-4,,107024-50-8152,107024-354,48
1/6/2193,989-28-79-13801-1,,107024-56-4134,107024-355,59
1/6/2193,989-28-79-91028-0,,107024-62-485,107024-356,44
1/6/2193,989-28-79-74374-1,,107024-81-8608,107024-357,10
1/6/2193,989-28-79-91028-0,,107024-19-8210,107024-358,79
1/6/2193,989-28-79-26824-4,,107024-56-9123,107024-359,97
1/6/2193,989-28-79-68089-3,0.05,107024-76-8613,107024-360,71
1/6/2193,989-28-79-51397-9,,107024-91-8052,107024-361,81
1/6/2193,989-28-79-43574-5,,107024-32-2948,107024-362,66
1/6/2193,989-28-79-43574-5,,107024-53-1090,107024-363,84
1/6/2193,989-28-79-40897-8,,107024-38-6486,107024-364,88
1/6/2193,989-28-3705-222-9,,107024-92-4691,107024-365,50
1/6/2193,989-28-3705-492-6,,107024-86-1250,107024-366,30
1/6/2193,989-28-3705-492-6,,107024-62-9268,107024-367,30
1/6/2193,989-28-3705-222-9,,107024-27-31,107024-368,16
1/6/2193,989-28-3705-222-9,,107024-45-3531,107024-369,66
